seq,ts_ns,event,order_id,side,type,price,quantity
50081,39277669423044,CANCEL,27304279,BUY,LIMIT,1408900,100
50082,39277669632049,NEW,27348675,SELL,LIMIT,1409800,100
50083,39277729412993,CANCEL,27348675,SELL,LIMIT,1409800,100
50084,39277855156856,NEW,27349707,BUY,LIMIT,1408900,100
50085,39277855561897,CANCEL,27349707,BUY,LIMIT,1408900,100
50086,39277855899722,NEW,27349723,SELL,LIMIT,1409400,100
50087,39277856024382,NEW,27349735,BUY,LIMIT,1408900,100
50088,39277858117209,CANCEL,27349735,BUY,LIMIT,1408900,100
50089,39277859078261,NEW,27349843,BUY,LIMIT,1408900,100
50090,39278867728468,CANCEL,27349843,BUY,LIMIT,1408900,100
50091,39278878314242,NEW,27352843,BUY,LIMIT,1408900,100
50092,39278879534660,CANCEL,27352843,BUY,LIMIT,1408900,100
50093,39278879561010,CANCEL,27349723,SELL,LIMIT,1409400,100
50094,39278886927533,NEW,27352883,BUY,LIMIT,1408900,100
50095,39279345082314,CANCEL,27352883,BUY,LIMIT,1408900,100
50096,39279348970223,NEW,27354139,SELL,LIMIT,1409800,100
50097,39279494919690,CANCEL,27354139,SELL,LIMIT,1409800,100
50098,39279523874426,NEW,27354851,SELL,LIMIT,1409800,100
50099,39279821565889,CANCEL,27354851,SELL,LIMIT,1409800,100
50100,39280027045914,NEW,27356043,SELL,LIMIT,1409800,100
50101,39280054885365,CANCEL,27356043,SELL,LIMIT,1409800,100
50102,39280089411844,NEW,27356383,SELL,LIMIT,1409800,100
50103,39280386855917,CANCEL,27224875,BUY,LIMIT,1409000,100
50104,39280704759027,NEW,27359155,SELL,LIMIT,1409900,100
50105,39281361398895,CANCEL,27359155,SELL,LIMIT,1409900,100
50106,39281479035730,NEW,27362011,SELL,LIMIT,1409900,100
50107,39281522185072,CANCEL,27362011,SELL,LIMIT,1409900,100
50108,39281525166309,NEW,27362115,SELL,LIMIT,1409900,100
50109,39281652211460,CANCEL,27362115,SELL,LIMIT,1409900,100
50110,39281753516397,NEW,27363075,SELL,LIMIT,1409900,100
50111,39281768594446,CANCEL,27363075,SELL,LIMIT,1409900,100
50112,39281770794972,NEW,27363347,SELL,LIMIT,1409900,100
50113,39282357405283,CANCEL,27336335,SELL,LIMIT,1409600,100
50114,39282358258233,NEW,27365147,BUY,LIMIT,1409100,100
50115,39287236888090,CANCEL,27365147,BUY,LIMIT,1409100,100
50116,39289085006044,NEW,27381923,BUY,LIMIT,1409100,100
50117,39289420242300,CANCEL,27381923,BUY,LIMIT,1409100,100
50118,39289452749081,NEW,27382815,BUY,LIMIT,1409100,100
50119,39289581517128,CANCEL,27382815,BUY,LIMIT,1409100,100
50120,39289589442966,NEW,27383095,BUY,LIMIT,1409100,100
50121,39289918056427,CANCEL,27383095,BUY,LIMIT,1409100,100
50122,39290497638724,NEW,27385135,SELL,LIMIT,1410000,100
50123,39291524601588,CANCEL,27344807,SELL,LIMIT,1409700,100
50124,39291624004780,CANCEL,27385135,SELL,LIMIT,1410000,100
50125,39291800548287,NEW,27388459,SELL,LIMIT,1410000,100
50126,39291913800462,CANCEL,27388459,SELL,LIMIT,1410000,100
50127,39292041957362,CANCEL,27344991,BUY,LIMIT,1409200,100
50128,39292042152319,NEW,27389599,SELL,LIMIT,1410000,100
50129,39292055872399,NEW,27390167,BUY,LIMIT,1409200,100
50130,39292142796489,CANCEL,27389599,SELL,LIMIT,1410000,100
50131,39292175369846,NEW,27391151,SELL,LIMIT,1410000,100
50132,39292225732235,CANCEL,27391151,SELL,LIMIT,1410000,100
50133,39293077664481,NEW,27393623,BUY,LIMIT,1409100,100
50134,39293851212959,CANCEL,27393623,BUY,LIMIT,1409100,100
50135,39293866940357,NEW,27396183,SELL,LIMIT,1410000,100
50136,39293877750910,CANCEL,27396183,SELL,LIMIT,1410000,100
50137,39294081696724,NEW,27396771,SELL,LIMIT,1410000,100
50138,39294091110982,CANCEL,27396771,SELL,LIMIT,1410000,100
50139,39294091618826,NEW,27396883,SELL,LIMIT,1410000,100
50140,39294183834301,CANCEL,27396883,SELL,LIMIT,1410000,100
50141,39294361519229,NEW,27397579,SELL,LIMIT,1410000,100
50142,39295358768876,CANCEL,27390167,BUY,LIMIT,1409200,100
50143,39295366028036,NEW,27401687,BUY,LIMIT,1409200,100
50144,39295366855851,CANCEL,27401687,BUY,LIMIT,1409200,100
50145,39295379274447,NEW,27401991,BUY,LIMIT,1409200,100
50146,39295385815536,CANCEL,27401991,BUY,LIMIT,1409200,100
50147,39295388138374,NEW,27402123,BUY,LIMIT,1409200,100
50148,39295388561126,CANCEL,27402123,BUY,LIMIT,1409200,100
50149,39295388991340,NEW,27402167,BUY,LIMIT,1409200,100
50150,39295418214594,CANCEL,27402167,BUY,LIMIT,1409200,100
50151,39296550981808,NEW,27406863,BUY,LIMIT,1409200,100
50152,39297000246510,CANCEL,27406863,BUY,LIMIT,1409200,100
50153,39297748557170,NEW,27411419,BUY,LIMIT,1409200,100
50154,39297831795996,CANCEL,27397579,SELL,LIMIT,1410000,100
50155,39297839002273,NEW,27411823,SELL,LIMIT,1410000,100
50156,39297843758394,CANCEL,27411823,SELL,LIMIT,1410000,100
50157,39297920732582,NEW,27412659,BUY,LIMIT,1409100,100
50158,39298259243246,CANCEL,27363347,SELL,LIMIT,1409900,100
50159,39300295810822,NEW,27418867,SELL,LIMIT,1409900,100
50160,39300348949159,CANCEL,27418867,SELL,LIMIT,1409900,100
50161,39300566203889,NEW,27419939,SELL,LIMIT,1409900,100
50162,39301471716252,CANCEL,27419939,SELL,LIMIT,1409900,100
50163,39301969672304,NEW,27423863,SELL,LIMIT,1409900,100
50164,39302621120307,CANCEL,27423863,SELL,LIMIT,1409900,100
50165,39302621570967,NEW,27425603,SELL,LIMIT,1409900,100
50166,39302760952883,CANCEL,27425603,SELL,LIMIT,1409900,100
50167,39302801181804,NEW,27425979,SELL,LIMIT,1409900,100
50168,39302804254309,CANCEL,27425979,SELL,LIMIT,1409900,100
50169,39302846122371,NEW,27426067,SELL,LIMIT,1409900,100
50170,39303410754023,CANCEL,27412659,BUY,LIMIT,1409100,100
50171,39303410762506,NEW,27427603,SELL,LIMIT,1410000,100
