seq,ts_ns,event,order_id,side,type,price,quantity
103,34200007467131,NEW,595586,BUY,LIMIT,491400,100
104,34200007476418,NEW,595598,SELL,LIMIT,543500,100
105,34200007482782,NEW,595610,BUY,LIMIT,434500,100
106,34200007497350,NEW,595618,SELL,LIMIT,600500,100
107,34200007834992,CANCEL,589514,BUY,LIMIT,517200,200
108,34200019111270,CANCEL,595034,BUY,LIMIT,517300,200
109,34200072004635,NEW,612874,SELL,LIMIT,517500,200
110,34200072440213,NEW,612922,BUY,LIMIT,517000,500
111,34200072692038,CANCEL,612922,BUY,LIMIT,517000,500
112,34200073368580,CANCEL,612874,SELL,LIMIT,517500,200
113,34200125370414,NEW,616938,BUY,LIMIT,517000,500
114,34200126827429,NEW,617074,SELL,LIMIT,517200,100
115,34200126951369,CANCEL,617074,SELL,LIMIT,517200,100
116,34200126951369,NEW,900000000001,BUY,MARKET,,100
117,34200170342741,NEW,622570,SELL,LIMIT,517500,200
118,34200170830091,CANCEL,616938,BUY,LIMIT,517000,500
119,34200172354026,CANCEL,622570,SELL,LIMIT,517500,200
120,34200225496955,NEW,628318,SELL,LIMIT,517500,200
121,34200226528362,CANCEL,628318,SELL,LIMIT,517500,200
122,34200248228377,NEW,630950,SELL,LIMIT,517500,200
123,34200249265151,CANCEL,630950,SELL,LIMIT,517500,200
124,34200270179686,NEW,635110,SELL,LIMIT,517600,200
125,34200270207783,NEW,635134,SELL,LIMIT,517500,200
126,34200271386165,CANCEL,635110,SELL,LIMIT,517600,200
127,34200271555096,CANCEL,635134,SELL,LIMIT,517500,200
128,34200301037623,NEW,638302,SELL,LIMIT,517500,200
129,34200302541116,CANCEL,638302,SELL,LIMIT,517500,200
130,34200343836880,NEW,644354,SELL,LIMIT,517500,200
131,34200347535748,NEW,644782,SELL,LIMIT,517400,200
132,34200348261375,CANCEL,588542,BUY,LIMIT,515900,500
133,34200349665004,CANCEL,644354,SELL,LIMIT,517500,200
134,34200350824936,CANCEL,644782,SELL,LIMIT,517400,200
135,34200351985635,NEW,645450,SELL,LIMIT,517300,144
136,34200371458870,CANCEL,587286,BUY,LIMIT,515800,500
137,34200372895170,NEW,648450,BUY,LIMIT,515800,500
138,34200373742743,CANCEL,645450,SELL,LIMIT,517300,144
139,34200373742743,NEW,648522,SELL,LIMIT,517100,144
140,34200378623391,CANCEL,648522,SELL,LIMIT,517100,144
141,34200378623391,NEW,648990,SELL,LIMIT,517300,144
142,34200679678663,NEW,672838,SELL,LIMIT,517600,200
143,34200680077005,NEW,672854,BUY,LIMIT,516000,200
144,34200680703538,CANCEL,672838,SELL,LIMIT,517600,200
145,34200680758024,NEW,672914,BUY,LIMIT,516000,500
146,34200681043821,CANCEL,648990,SELL,LIMIT,517300,144
147,34200681043821,NEW,672938,SELL,LIMIT,517200,144
148,34200681371147,CANCEL,672854,BUY,LIMIT,516000,200
149,34200683699995,CANCEL,672938,SELL,LIMIT,517200,144
150,34200683699995,NEW,673046,SELL,LIMIT,517300,144
151,34200692588143,CANCEL,672914,BUY,LIMIT,516000,500
152,34200744882526,CANCEL,673046,SELL,LIMIT,517300,144
153,34200744882526,NEW,900000000002,BUY,MARKET,,144
154,34200999493667,CANCEL,648450,BUY,LIMIT,515800,500
155,34201077984055,NEW,694158,SELL,LIMIT,517200,300
156,34201118242505,REDUCE,694158,SELL,LIMIT,517200,287
157,34201118242505,NEW,900000000003,BUY,MARKET,,13
158,34201210082916,NEW,699102,SELL,LIMIT,517200,300
159,34201210699741,CANCEL,694158,SELL,LIMIT,517200,287
160,34201381308894,REDUCE,699102,SELL,LIMIT,517200,107
161,34201381308894,NEW,900000000004,BUY,MARKET,,193
162,34201609028798,CANCEL,699102,SELL,LIMIT,517200,107
163,34201609028798,NEW,900000000005,BUY,MARKET,,107
164,34201691016602,NEW,718798,BUY,LIMIT,516600,100
165,34201729545993,NEW,720354,SELL,LIMIT,517200,100
166,34201729892479,CANCEL,720354,SELL,LIMIT,517200,100
167,34201729892479,NEW,900000000006,BUY,MARKET,,100
168,34201744450602,NEW,720886,BUY,LIMIT,516600,100
169,34201751295228,NEW,721226,SELL,LIMIT,517500,200
170,34201752331688,CANCEL,721226,SELL,LIMIT,517500,200
171,34201846546216,NEW,725074,SELL,LIMIT,517400,200
172,34201847519794,NEW,725142,SELL,LIMIT,517000,200
173,34201847546196,NEW,725150,SELL,LIMIT,516900,200
174,34201847573618,CANCEL,725074,SELL,LIMIT,517400,200
175,34201847585704,CANCEL,718798,BUY,LIMIT,516600,100
176,34201847585704,CANCEL,720886,BUY,LIMIT,516600,100
177,34201847585704,NEW,900000000007,SELL,MARKET,,200
178,34201848781375,CANCEL,725142,SELL,LIMIT,517000,200
179,34201848913254,CANCEL,725150,SELL,LIMIT,516900,200
180,34201852307158,NEW,725366,BUY,LIMIT,516100,100
181,34201854185332,CANCEL,725366,BUY,LIMIT,516100,100
182,34201854185332,NEW,900000000008,SELL,MARKET,,100
183,34201854185794,NEW,725670,SELL,LIMIT,516400,200
184,34201855444285,CANCEL,725670,SELL,LIMIT,516400,200
185,34202220176902,NEW,738970,SELL,LIMIT,516900,100
186,34202450369168,CANCEL,738970,SELL,LIMIT,516900,100
187,34202664447382,NEW,747894,BUY,LIMIT,516300,200
188,34202665487270,CANCEL,747894,BUY,LIMIT,516300,200
189,34202667151341,NEW,747986,SELL,LIMIT,516900,100
190,34203226620407,NEW,758110,SELL,LIMIT,540000,100
191,34203229562925,NEW,758194,SELL,LIMIT,550000,100
192,34203276402000,CANCEL,747986,SELL,LIMIT,516900,100
193,34203295428271,NEW,759522,SELL,LIMIT,516900,100
194,34203660605820,CANCEL,759522,SELL,LIMIT,516900,100
195,34203665880142,NEW,764818,SELL,LIMIT,516700,100
196,34203779630383,CANCEL,764818,SELL,LIMIT,516700,100
197,34203786821290,NEW,766646,SELL,LIMIT,516600,100
198,34203815923190,CANCEL,766646,SELL,LIMIT,516600,100
199,34203830450996,NEW,767518,SELL,LIMIT,516500,100
200,34203968704877,CANCEL,767518,SELL,LIMIT,516500,100
201,34203983079512,NEW,770254,SELL,LIMIT,516300,100
202,34204011006900,CANCEL,770254,SELL,LIMIT,516300,100
203,34204026398938,NEW,771386,SELL,LIMIT,516100,100
204,34204087419346,REDUCE,771386,SELL,LIMIT,516100,94
205,34204087419346,NEW,900000000009,BUY,MARKET,,6
206,34204111673634,CANCEL,771386,SELL,LIMIT,516100,94
207,34204111673634,NEW,900000000010,BUY,MARKET,,94
208,34204572435759,NEW,779838,SELL,LIMIT,515900,100
209,34204823685344,REDUCE,779838,SELL,LIMIT,515900,99
210,34204823685344,NEW,900000000011,BUY,MARKET,,1
211,34204824124062,CANCEL,779838,SELL,LIMIT,515900,99
212,34204824124062,NEW,900000000012,BUY,MARKET,,99
213,34204854798477,NEW,783118,BUY,LIMIT,515700,200
214,34204855824836,CANCEL,783118,BUY,LIMIT,515700,200
215,34205266722578,NEW,796302,SELL,LIMIT,516200,100
216,34205455378050,REDUCE,796302,SELL,LIMIT,516200,99
217,34205455378050,NEW,900000000013,BUY,MARKET,,1
218,34205507198918,CANCEL,796302,SELL,LIMIT,516200,99
219,34205507198918,NEW,900000000014,BUY,MARKET,,99
220,34205507472463,NEW,802354,BUY,LIMIT,516000,100
221,34205511171103,CANCEL,802354,BUY,LIMIT,516000,100
222,34205511171103,NEW,900000000015,SELL,MARKET,,100
223,34206121783859,NEW,818118,SELL,LIMIT,516600,800
224,34206122478346,NEW,818130,SELL,LIMIT,520000,200
225,34206402409620,NEW,826866,BUY,LIMIT,430000,100
226,34206603017976,NEW,833210,SELL,LIMIT,516400,200
227,34206604075861,CANCEL,833210,SELL,LIMIT,516400,200
228,34206618176467,NEW,833582,SELL,LIMIT,516400,100
229,34206618252140,CANCEL,833582,SELL,LIMIT,516400,100
230,34206618252140,NEW,900000000016,BUY,MARKET,,100
231,34207042563718,NEW,845542,SELL,LIMIT,516500,100
