seq,ts_ns,event,order_id,side,type,price,quantity
40093,36413236941890,CANCEL,14831913,SELL,LIMIT,2082500,25
40094,36413236942152,CANCEL,14831937,SELL,LIMIT,2082600,25
40095,36413276466251,NEW,14833297,BUY,LIMIT,2081100,25
40096,36413283266858,NEW,14833313,BUY,LIMIT,2081000,25
40097,36413283401404,NEW,14833317,BUY,LIMIT,2080900,25
40098,36413554020316,CANCEL,14833313,BUY,LIMIT,2081000,25
40099,36413554021445,CANCEL,14833317,BUY,LIMIT,2080900,25
40100,36413554021719,CANCEL,14833297,BUY,LIMIT,2081100,25
40101,36413639363993,NEW,14834181,SELL,LIMIT,2082400,25
40102,36413682269004,NEW,14834265,SELL,LIMIT,2082500,25
40103,36413682523201,NEW,14834269,SELL,LIMIT,2082600,25
40104,36413849066617,CANCEL,14834181,SELL,LIMIT,2082400,25
40105,36413849067778,CANCEL,14834265,SELL,LIMIT,2082500,25
40106,36413849068025,CANCEL,14834269,SELL,LIMIT,2082600,25
40107,36413859103887,NEW,14835245,BUY,LIMIT,2081100,25
40108,36413859214318,NEW,14835249,BUY,LIMIT,2081000,25
40109,36413859375367,NEW,14835253,BUY,LIMIT,2080900,25
40110,36413932217386,CANCEL,14835245,BUY,LIMIT,2081100,25
40111,36413932219101,CANCEL,14835249,BUY,LIMIT,2081000,25
40112,36413932220363,CANCEL,14835253,BUY,LIMIT,2080900,25
40113,36414230100950,NEW,14836741,SELL,LIMIT,2082400,25
40114,36414234311745,NEW,14836837,SELL,LIMIT,2082500,25
40115,36414234892669,NEW,14836857,SELL,LIMIT,2082600,25
40116,36414373557218,CANCEL,14828637,SELL,LIMIT,2081900,25
40117,36414642705595,CANCEL,14836741,SELL,LIMIT,2082400,25
40118,36414642707498,CANCEL,14836837,SELL,LIMIT,2082500,25
40119,36414642708762,CANCEL,14836857,SELL,LIMIT,2082600,25
40120,36415041367305,NEW,14840165,BUY,LIMIT,2081100,25
40121,36415041530002,NEW,14840169,BUY,LIMIT,2081000,25
40122,36415041821258,CANCEL,14840165,BUY,LIMIT,2081100,25
40123,36415041822450,CANCEL,14840169,BUY,LIMIT,2081000,25
40124,36415147696492,NEW,14840637,SELL,LIMIT,2082400,25
40125,36415147828031,NEW,14840641,SELL,LIMIT,2082500,25
40126,36415149285680,NEW,14840649,SELL,LIMIT,2082600,25
40127,36415312509698,CANCEL,14840637,SELL,LIMIT,2082400,25
40128,36415312510822,CANCEL,14840641,SELL,LIMIT,2082500,25
40129,36415312511043,CANCEL,14840649,SELL,LIMIT,2082600,25
40130,36415565485267,NEW,14842645,BUY,LIMIT,2081100,25
40131,36415565663894,NEW,14842649,BUY,LIMIT,2081000,25
40132,36415566432256,NEW,14842653,BUY,LIMIT,2080900,25
40133,36416042201033,NEW,14844357,BUY,LIMIT,2081700,25
40134,36416042386028,CANCEL,14842649,BUY,LIMIT,2081000,25
40135,36416042388583,CANCEL,14842645,BUY,LIMIT,2081100,25
40136,36416042389689,CANCEL,14842653,BUY,LIMIT,2080900,25
40137,36416042906270,NEW,14844361,SELL,LIMIT,2082400,25
40138,36416043595031,NEW,14844365,SELL,LIMIT,2082500,25
40139,36416046009751,CANCEL,14844365,SELL,LIMIT,2082500,25
40140,36416046298237,CANCEL,14844357,BUY,LIMIT,2081700,25
40141,36418416802150,CANCEL,14844361,SELL,LIMIT,2082400,25
40142,36418437772399,NEW,14854937,BUY,LIMIT,2081100,25
40143,36418437990007,NEW,14854945,BUY,LIMIT,2081000,25
40144,36418438103802,NEW,14854949,BUY,LIMIT,2080900,25
40145,36418438717767,CANCEL,14854937,BUY,LIMIT,2081100,25
40146,36418438718139,CANCEL,14854945,BUY,LIMIT,2081000,25
40147,36418438719261,CANCEL,14854949,BUY,LIMIT,2080900,25
40148,36418575383219,NEW,14855601,SELL,LIMIT,2082400,10
40149,36418583478234,NEW,14855621,SELL,LIMIT,2082500,10
